userId,unique_friend_count
12434,1347
74365,940
100720,717
20109,672
171923,649
37040,635
88484,557
14571,504
3339,487
207400,461
9858,451
63201,448
336482,417
52916,395
56194,395
78956,391
285910,388
17451,381
10428,379
146088,379
273422,379
239895,376
529621,376
40971,362
12786,354
148113,350
357040,350
259709,346
4907,342
308052,340
483046,338
42230,337
332608,337
155320,336
63853,331
262577,331
708696,319
105555,318
219041,311
18913,299
675927,294
23747,293
268153,293
92102,288
840997,288
86206,286
10034,284
438952,284
734803,284
6891,281
354489,277
145666,276
226904,273
541,271
321690,270
21835,269
675145,268
224095,262
39728,259
121163,258
10871,256
105287,255
269943,255
539335,253
186441,248
289135,244
81440,242
189161,241
272633,238
571817,235
22038,234
522342,234
63057,232
302473,232
617583,230
845040,230
138606,228
649,226
368555,225
596758,225
14314,223
589725,222
26306,221
106754,221
910274,217
31002,216
211718,216
50786,215
63574,215
87048,215
399570,215
5975,213
100963,212
618325,212
40977,211
572560,211
262852,210
7943,209
180857,209
269527,208
828833,207
35734,203
173784,203
134794,202
439390,202
270365,201
287447,200
775497,200
340290,197
174138,196
550701,193
584983,193
274770,192
44496,191
143823,189
186891,189
258489,189
28969,188
354874,188
388549,188
518920,188
789957,188
301968,187
660700,187
253965,186
287357,186
336868,185
57826,184
372270,184
6158,182
330381,182
16539,181
278183,181
577892,181
56223,180
263414,180
308916,180
750155,180
30369,179
337230,179
73399,178
92497,178
140662,178
597093,177
746452,176
305011,175
51482,174
81537,173
244271,173
391955,171
584254,171
422680,170
304254,167
438504,166
471892,166
3365,165
155995,165
527488,165
540,164
10684,164
574976,164
418227,163
400695,161
689146,161
109488,160
28401,159
364495,159
4076,158
44340,157
970562,157
67873,156
173138,156
384635,156
498283,156
1189868,156
24133,155
30595,154
337891,154
268309,153
337109,153
775264,153
44652,152
99759,152
109560,152
123949,152
123995,152
417764,152
9640,151
22800,151
91723,151
114116,151
63228,150
136859,150
143968,149
314536,149
336200,149
9589,146
45842,146
86951,146
370947,146
13143,145
37501,145
46613,145
123220,145
145686,145
220061,145
939090,145
163151,144
95564,143
149886,143
165365,143
307683,142
333692,142
10590,141
14446,141
78604,141
269951,141
390115,141
441923,141
26417,140
151645,140
153960,140
269447,140
124795,139
267188,139
554063,139
614987,139
812782,139
12851,138
53645,138
176770,138
272692,138
275224,138
418220,138
630066,138
811156,138
84027,137
142150,137
190497,137
244590,137
77855,136
78559,136
87324,136
157401,136
369977,136
886622,136
1336,135
73686,135
90115,135
268899,135
337604,135
416314,135
844572,135
81846,134
368255,134
2001,133
12094,133
12865,133
63482,133
58328,132
359676,132
17290,131
19538,131
88522,131
89812,131
147914,131
206039,131
814621,131
1368386,131
854,130
90110,130
159359,130
327498,130
402087,130
813375,130
942774,130
30240,129
465216,129
808906,129
44005,127
152597,127
153833,127
425462,127
561682,127
96003,126
186625,126
187591,126
337193,126
370926,126
908794,126
29073,125
55435,125
122094,125
145985,125
4390,124
67764,124
389637,124
449821,124
453951,124
65917,123
51231,122
67840,122
187751,122
238047,122
290882,122
325461,122
371447,122
382142,122
442934,122
481446,122
592494,122
20944,121
